12507 ms: (-46,234,-968);(15,343,-968);(15,343,-968);(-46,312,-937);(31,312,-968);(-46,390,-953);(-62,359,-937);(-46,296,-937);(0,453,-1062);(0,453,-1062);
756 ms: (-62,234,-921);(-62,437,-937);(-109,546,-718);(-62,906,-531);(-62,906,-531);(-62,1031,-93);(31,984,-62);(140,859,406);(78,765,796);(78,687,937);
1617 ms: (187,656,890);(187,656,890);(312,718,656);(296,718,640);(234,640,500);(375,828,718);(328,687,750);(312,531,609);(312,531,609);(328,609,687);
758 ms: (187,1125,1453);(390,1046,1062);(593,-15,-171);(234,281,93);(234,281,93);(328,906,1015);(62,984,1515);(640,1375,1843);(750,968,-265);(203,62,-515);
915 ms: (203,62,-515);(312,578,1734);(265,421,890);(-31,656,1187);(-31,656,1187);(734,1140,250);(734,1140,250);(234,-250,-734);(500,593,1531);(156,671,1015);
987 ms: (-312,593,1156);(484,984,1921);(953,1156,875);(953,1156,875);(578,46,-468);(453,234,578);(234,906,1218);(-31,718,1125);(-234,828,1546);(-234,828,1546);
850 ms: (890,1234,1640);(390,78,125);(359,109,218);(203,406,1312);(93,671,890);(93,671,890);(-343,968,1515);(484,1437,1687);(281,671,31);(281,93,-46);
1257 ms: (406,500,-203);(406,500,-203);(203,531,937);(-265,937,1531);(375,1500,1953);(500,1265,-437);(187,-15,-203);(250,390,1062);(250,390,1062);(46,437,1046);
907 ms: (-281,765,1437);(234,1296,2125);(671,1187,296);(62,-15,-375);(62,-15,-375);(156,484,765);(109,437,937);(-359,656,1468);(250,1296,2140);(484,1437,140);
1074 ms: (484,1437,140);(250,343,62);(-15,468,828);(46,437,968);(-203,625,1265);(359,1218,1921);(484,1421,-484);(484,1421,-484);(156,109,-218);(281,187,1031);
1085 ms: (156,484,968);(-250,890,1421);(234,1390,1937);(234,1390,1937);(359,1156,-62);(46,328,-31);(265,218,1312);(93,359,718);(-234,734,1296);(-234,734,1296);
755 ms: (140,1328,2140);(328,1531,31);(-93,156,-234);(484,140,1031);(62,265,781);(62,265,781);(-109,890,1187);(-187,1390,2328);(468,1265,734);(-296,-421,-812);
1347 ms: (453,312,437);(984,-140,-187);(984,-140,-187);(203,640,593);(-281,1234,1812);(-125,1515,2390);(671,1109,281);(-15,156,-281);(-15,156,-281);(-125,109,546);
1580 ms: (-140,-421,609);(-140,-421,609);(546,421,953);(265,468,1140);(0,437,921);(484,968,1703);(796,1343,62);(796,1343,62);(-187,-62,-843);(375,625,1453);
1077 ms: (218,281,1000);(31,656,1390);(671,1453,1312);(671,1453,1312);(328,15,437);(328,-15,390);(187,-109,1125);(140,500,1250);(625,1156,1781);(625,1156,1781);
1306 ms: (312,609,31);(375,250,125);(234,406,984);(62,609,1046);(265,734,1531);(828,1359,812);(828,1359,812);(734,31,-343);(187,187,828);(46,453,937);
1977 ms: (109,421,703);(78,187,828);(31,796,1437);(-156,875,828);(-156,875,828);(-31,656,-62);(-31,156,-1000);(-15,140,-1046);(-46,78,-953);(-109,15,-1000);
