10900 ms: (343,406,-828);(265,390,-828);(265,390,-828);(531,468,-828);(421,484,-796);(421,484,-781);(421,515,-796);(406,484,-812);(406,484,-812);(390,500,-796);
894 ms: (390,531,-828);(375,515,-812);(375,531,-796);(390,531,-812);(390,531,-812);(359,500,-781);(406,500,-812);(406,515,-734);(296,500,-796);(328,453,-859);
1036 ms: (359,437,-859);(359,437,-859);(359,421,-796);(484,453,-734);(625,781,-312);(578,921,-46);(468,984,62);(468,984,62);(328,875,140);(328,1062,328);
1121 ms: (328,1109,437);(62,1031,593);(31,562,265);(31,562,265);(31,687,390);(46,562,296);(375,703,531);(62,2062,1390);(328,1718,1187);(1031,-937,15);
947 ms: (1031,-937,15);(703,0,250);(-421,1906,2125);(406,1828,2093);(921,-2750,-2656);(62,-78,1718);(62,-78,1718);(-31,578,937);(-140,1328,1578);(406,1609,1828);
942 ms: (671,-796,-46);(578,171,984);(578,171,984);(-46,687,1328);(-250,937,1593);(281,1906,2125);(406,109,15);(953,31,1000);(187,421,1203);(187,421,1203);
817 ms: (-406,1171,1843);(515,1968,1953);(671,-468,-390);(671,-468,-390);(406,93,687);(406,93,687);(-890,1750,2140);(265,1968,2296);(1015,-1203,-1031);(828,234,1687);
988 ms: (46,468,1078);(46,468,1078);(-515,1234,1890);(187,1718,2125);(1140,734,15);(718,-171,1281);(62,531,984);(62,531,984);(-187,1218,1687);(406,1687,1937);
1036 ms: (1546,1015,453);(31,-484,1515);(-46,421,812);(-109,1000,1218);(-109,1000,1218);(312,1843,2140);(750,1187,-796);(1000,265,312);(-62,656,1078);(-15,1125,1062);
1030 ms: (-15,1125,1062);(250,2078,2156);(750,1000,-765);(718,-359,46);(187,593,1484);(-156,890,906);(-156,890,906);(-109,1781,1968);(750,1328,1078);(593,-718,-812);
1083 ms: (234,-578,-390);(78,1078,1312);(78,1078,1312);(-203,1875,2062);(953,1171,218);(171,-968,-250);(171,375,953);(-46,750,921);(46,1796,2078);(46,1796,2078);
888 ms: (859,1390,1109);(718,-781,-1046);(500,-265,1171);(-31,937,1312);(31,1843,1968);(31,1843,1968);(859,1390,828);(671,-562,-1203);(484,46,1171);(46,656,1281);
1306 ms: (-281,1750,1921);(-281,1750,1921);(843,1328,671);(609,-828,-328);(-546,15,-250);(-421,500,1203);(-343,343,859);(-250,343,906);(-250,343,906);(-312,328,781);
1046 ms: (-281,390,-1312);(-125,500,1093);(-296,828,515);(15,687,-593);(15,687,-593);(187,125,-1125);(390,93,-1062);(437,218,-984);(421,218,-937);(281,203,-890);
